path	size_bytes	sha256	file_type
mdtp.img	17808306	1e211f09a30d4c3196833608dd6168efe7c3d4da95a08ee6dee1cc799d258738	data
mdtpsecapp.mbn	1078864	4f574191248dac5a938f45aef2738ece813bb006bbb04583df775bdfa6f0a7dd	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, no section header
misc.img	8	f99d4d92bb38e64adbfcf097d0f1dbf7abb60a406edf563adb01335dd5da054b	ASCII text
NON-HLOS.bin	109105152	07ce51680158521d6c51fd24291d9d6494594ec5f2ec82221fefc19841f387c5	DOS/MBR boot sector, code offset 0x3c+2, OEM-ID "MSDOS5.0", Bytes/sector 4096, sectors/cluster 4, root entries 512, Media descriptor 0xf8, sectors/FAT 4, sectors/track 63, heads 255, sectors 28160 (volumes > 32 MB), serial number 0xbc614e, unlabeled, FAT (16 bit)
otafs_ufs_2gb.img	36364976	69d3d2b05f8dbcd5fbb32ef5239517d4c4901b46ce3b752f1ccab00f4b1641c8	Android sparse image, version: 1.0, Total of 524288 4096-byte output blocks in 55 input chunks.
partition.xml	14104	be31836193f6648d6a1874b5b5775c0461e5dcaeb8e85f8cbbbc0f62a5a15ada	XML 1.0 document, ASCII text
patch0.xml	6263	dccc294c2750b09982de706145f88f4345ab61e0153f725958e8db998c53a4ae	XML 1.0 document, ASCII text
patch1.xml	6263	154ae7adb57fb6fd74f3a03d6df93dce934196d39bb4114d8e662ecfcc7519f2	XML 1.0 document, ASCII text
patch2.xml	6263	2da05667e222d726e49f3faa6843abf985b445b3d01cab6ba1eba603984fbc62	XML 1.0 document, ASCII text
patch3.xml	6263	57413955d5373592ec193bc5bffc96da19c33da98cb2a0150e54ad1d71207e21	XML 1.0 document, ASCII text
patch4.xml	6271	43e5bb954793150ba2c81292e90ef9a871a114118e2d3a05ded26322da4c6c91	XML 1.0 document, ASCII text
persist.img	33554432	583bd0b844b1720edaaf053cd3ff22681117236397f5132d119352fec7a866e3	Linux rev 1.0 ext4 filesystem data, UUID=cff5dfad-4a88-4bf9-9d0a-cca3b6d7e97d (extents) (large files) (huge files)
pmic.elf	51136	744dcc9931eb37e4fe5bb06677808c8165b4b4d0eb3434dd4b0b598e843cc9dd	ELF 64-bit LSB executable, ARM aarch64, version 1 (SYSV), statically linked, no section header
prog_ufs_firehose_8998_ddr.elf	597168	749f41caff3405f4d3aa8e7cf31099a184bf7e49cb7ae85efabf00344c8dfcf9	ELF 64-bit LSB executable, ARM aarch64, version 1 (SYSV), statically linked, no section header
provision_samsung.xml	2761	f95141136b71282e1ce9189d129936eb3429b062b6d7daa885e720b3a523a835	exported SGML document, ASCII text
ramdisk.img	1905816	1cef7d02466e0f3658270a8574b18e48f67b25d5e603cf0e182f820e79bb527f	gzip compressed data, from Unix, original size modulo 2^32 4230144
rawprogram0.xml	4451	3329381d03bd6e3229af7dffd51fbfbcd907e09bba94d262b8a7c5fdd597f052	XML 1.0 document, ASCII text, with very long lines (328)
rawprogram1.xml	1296	1bebc38d75c8c04967d555990082b4697d0e0e5e836dcf9d7c1592104cf9fb39	XML 1.0 document, ASCII text, with very long lines (328)
rawprogram2.xml	1296	5bed463d2b7b7a57b486df3e2fa72fcc57264b4f04a30b3a8d17abb827b805a7	XML 1.0 document, ASCII text, with very long lines (328)
rawprogram3.xml	1553	efa874b36eadb2d7c47359f76b18dd1266ea7753061ba315956882cd77b107b5	XML 1.0 document, ASCII text, with very long lines (328)
rawprogram_unsparse0.xml	25163	37fb5ff7e02cd50eecceec3b39884b5872e33900214c9bfb03611e3c3eef05cd	XML 1.0 document, ASCII text, with very long lines (329)
rawprogram_unsparse4.xml	19924	3c5c6cc255969937afe23397ba32a62f59c5471423b15922b527a00996a29c3d	XML 1.0 document, ASCII text, with very long lines (329)
rpm.mbn	233668	572a6fca059a2a244d79bc7c51252b87e6a6eb166c09c7ea2c471a1228be8ae0	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), statically linked, no section header
splash.img	11075640	7fe465c55457b52f5c9f9faa3c7d0adbe0b5738a9c9196b9d75ab9686967ef4f	data
storsec.mbn	49176	2398789eab1c981504af47d1aae23e1cf7c491ce217d8bc0f07e330b3c931a61	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, no section header
system.img	3746394440	5cb9695ecae27ec092b9413a73a90a2178cb815d76b8f197cda5cadee292c1dc	Android sparse image, version: 1.0, Total of 1048576 4096-byte output blocks in 25 input chunks.
tz.mbn	1912832	82f08829175bacb369295b34c14a1ba1313c10e053dfd6e7f09952162bb8a8a4	ELF 64-bit LSB executable, ARM aarch64, version 1 (SYSV), statically linked, no section header
userdata.img	5756588	2d6208cabf93085540cf658067d9d2301b3c6efa53e21a05e511104cd69dd841	Android sparse image, version: 1.0, Total of 26475487 4096-byte output blocks in 140 input chunks.
vendor.img	593264872	8f564431ce915e1e7e5c51b0db48e6154fdc3785494fbee512734a7ae3002156	Android sparse image, version: 1.0, Total of 262144 4096-byte output blocks in 17 input chunks.
Ver_info.txt	1109	0c288e0d12eaa3ce3715766104e9f83abd045b39fdc81804499cb613fde23715	JSON text data
version.txt	28	f94ac2ba3d9cc81f4d06ed9f08c51b75eac8f607b9180b579b4adae1a3996ff4	ASCII text
xbl.elf	2686892	11c8d255bbd1657bdd2a8040d6809fdcb3f076fac4c1bedbb705278b22871b3f	ELF 64-bit LSB executable, ARM aarch64, version 1 (SYSV), statically linked, no section header
